ema_diff_9,sma200,rsi,adx,dx,historyClose,tomorrow,expected
-0.0809573673492148,250.33975000000012,42.73020439432205,32.283777116234546,-0.27450817560972435,230.14,235.0,1
-0.07025891628361762,250.30975000000012,45.105270034594724,31.86364832753936,-0.2640197407450196,235.0,215.03,0
-0.07357110116427633,250.2011000000001,38.11121211804578,31.85790298510323,-0.3178321353343352,215.03,225.04,1
-0.06878761957917404,250.1463000000001,42.89139167368441,31.852994767193348,-0.3178918793436491,225.04,223.94,0
-0.0648991435878173,250.11605000000014,42.50288903269768,31.62312142802683,-0.28634768018862145,223.94,226.0,1
-0.05979233924621049,250.03920000000014,43.53438403076322,31.101536654873435,-0.24320934603879324,226.0,231.0,1
-0.05210472053948651,250.06415000000013,46.06362565039624,30.617207936945285,-0.24320934603879324,231.0,231.0,0
-0.04567513608012019,250.07830000000013,46.06362565039624,30.167474127440574,-0.24320934603879327,231.0,233.0,1
-0.039088072390503985,250.15535000000014,47.16158284015109,28.974876081697676,-0.13471101487039933,233.0,237.75,1
-0.030928399677884785,250.19910000000016,49.77650569193985,27.482426836445107,-0.08080586648161647,237.75,245.0,1
-0.020435633716475037,250.27910000000014,53.55466495863539,25.93515297615901,-0.0582059279243976,245.0,239.9,0
-0.015312170115455128,250.25860000000014,50.66719766584463,24.49839867732192,-0.05820592792439763,239.9,240.6,1
-0.010943543687839568,250.26035000000013,51.05724804052595,23.463694994290982,-0.10012547114888784,240.6,236.53,0
-0.009769806646662858,250.21800000000013,48.648795684504016,22.43154243805594,-0.09013559207000356,236.53,238.7,1
-0.007584935422220414,250.23650000000012,50.00297090722624,21.32118027506824,0.06886472156228202,238.7,240.0,1
-0.005163483727370985,250.26150000000013,50.83936321780024,20.29012969515109,0.06886472156228195,240.0,226.5,0
-0.010571438850026217,250.19525000000013,42.82703174686412,19.34867685742737,-0.07109789967019002,226.5,228.5,1
-0.013389459185349152,250.14900000000011,44.22934633139123,18.474470650969632,-0.07109789967019006,228.5,233.0,1
-0.01281874507518167,250.1215000000001,47.35797825558824,17.662707744973158,-0.07109789967019009,233.0,230.0,0
-0.013859559971908518,250.0265000000001,45.52445299258082,16.85119788229958,-0.0630156966754304,230.0,232.5,1
-0.013048347107787118,249.98900000000012,47.35367021498467,15.816984037608748,-0.023722040566279357,232.5,238.26,1
-0.009092615474855585,249.92530000000014,51.40263123370856,14.839889279072727,0.021376574181044748,238.26,234.47,0
-0.008109247474396926,249.75265000000013,48.74608924374789,13.796458927354708,0.0023186435502047186,234.47,234.47,0
-0.007261139580145293,249.58890000000014,48.746089243747875,12.82755931504512,0.0023186435502046596,234.47,227.5,0
-0.010335168829775546,249.32640000000015,43.90635360365908,12.487949176202955,-0.08073017371254801,227.5,226.52,0
-0.013028850416013522,249.17400000000012,43.25606395594303,12.339906171174146,-0.10415347105799597,226.52,228.0,1
-0.014027573283961167,248.95900000000012,44.59075883800715,12.202437666504535,-0.104153471057996,228.0,235.0,1
-0.010672595482888772,248.83400000000012,50.5189530854133,11.637971132647769,-0.04299906192509814,235.0,238.0,1
-0.006400989274121476,248.72400000000013,52.84733575291973,11.037185537109332,0.03226972795109641,238.0,233.0,0
-0.005887781279874531,248.56900000000013,48.73149427547976,10.47931319839507,0.03226972795109639,233.0,233.0,0
-0.005420425719781523,248.2790000000001,48.73149427547977,9.961288883874683,0.03226972795109639,233.0,243.2,1
0.00051504244555662,248.11500000000012,56.70846597344785,10.518127099265671,0.17757023899348515,243.2,242.0,0
0.004201012663133682,247.9450000000001,55.61218195202261,11.31951797617893,0.21737599376051328,242.0,241.1,0
0.006366672883584877,247.7749500000001,54.757189499768245,12.063666647598387,0.2173759937605133,241.1,242.7,1
0.008698496789307448,247.6129500000001,56.050805626212,12.75466184248788,0.21737599376051328,242.7,240.0,0
0.008880194530757524,247.40240000000009,53.282167509212094,13.534044711416982,0.23666022007495283,240.0,243.0,1
0.010436904271601675,247.2424000000001,55.889341696568806,14.257757375422575,0.2366602200749528,243.0,238.8,0
0.009257385187245722,247.0614000000001,51.55179767128823,14.929776277713483,0.2366602200749528,238.8,236.98,0
0.007299157285413447,246.93585000000013,49.74996498109749,15.238593081438259,0.19253211529860356,236.98,242.25,1
0.008480334972748605,246.82285000000013,54.68854983393609,16.71085748772872,0.3585029476950468,242.25,243.0,1
0.009611494630192079,246.72005000000016,55.360932633766524,18.43804557859055,0.4089149075979432,243.0,246.89,1
0.012295793959973603,246.63855000000015,58.77768884035673,20.041863091533678,0.40891490759794313,246.89,246.4,0
0.013830636346391716,246.53295000000017,58.17366171411312,21.510161332759488,0.40598038468695063,246.4,246.5,1
0.014802537514547217,246.46210000000016,58.267916326147926,22.873581128183456,0.4059803846869505,246.5,243.41,0
0.013736662803716592,246.4665000000002,54.20328173357838,24.378213425829973,0.4393843329523469,243.41,244.6,1
0.013346339808477908,246.45210000000017,55.49097742800749,25.839858136451472,0.44841239374530917,244.6,248.47,1
0.014811199092637914,246.4818000000002,59.481091487312675,27.514370763173698,0.49283034910562606,248.47,252.3,1
0.01757713403307032,246.4765500000002,63.01485194754424,29.8934532666096,0.6082152581127637,252.3,259.24,1
0.02274275234788468,246.52910000000017,68.39379664299832,32.55576207060835,0.6716577652259208,259.24,266.08,1
0.029422165897499474,246.61965000000018,72.62028734688242,35.26016993872948,0.7041747222430416,266.08,267.04,1
0.03424227825102041,246.6831000000002,73.16272009170869,38.33251084516691,0.7827294262885345,267.04,270.0,1
0.03857134782892665,246.7864000000002,74.81921977270855,41.18539882971594,0.7827294262885346,270.0,263.0,0
